,taxon_id,kingdom,phylum,order,family,genus,species,scientific_name,country
0,2117007,Animalia,Arthropoda,Cyclopoida,Cyclopidae,Diacyclops,bicuspidatus,"Diacyclops bicuspidatus (Claus, 1857)",
1,5913303,Bacteria,Cyanobacteria,Cyanobacteriales,Chroococcaceae,Limnococcus,limneticus,Limnococcus limneticus (Lemmerm.) J.Komárková et al.,
2,5424000,Chromista,Cryptophyta,Pyrenomonadales,Geminigeraceae,Hanusia,phi,Hanusia phi J.A.Deane,
3,2394514,Animalia,Chordata,Perciformes,Centrarchidae,Ambloplites,rupestris,"Ambloplites rupestris (Rafinesque, 1817)",
4,2410890,Animalia,Chordata,Osmeriformes,Osmeridae,Hypomesus,nipponensis,"Hypomesus nipponensis McAllister, 1963",
5,5188139,Animalia,Echinodermata,Camarodonta,Echinidae,Echinus,esculentus,"Echinus esculentus Linnaeus, 1758",
6,2276844,Animalia,Echinodermata,,Ophiopyrgidae,Ophioplinthus,brevirima,"Ophioplinthus brevirima (Mortensen, 1936)",
7,4308356,Animalia,Annelida,Phyllodocida,Polynoidae,Eunoe,hartmanae,"Eunoe hartmanae (Uschakov, 1962)",
8,2224469,Animalia,Arthropoda,Decapoda,Diogenidae,Paguristes,cadenati,"Paguristes cadenati Forest, 1954",
9,4413592,Animalia,Platyhelminthes,Cyclophyllidea,Hymenolepididae,Tschertkovilepis,setigera,"Tschertkovilepis setigera (Frölich, 1789)",
10,2498375,Animalia,Chordata,Anseriformes,Anatidae,Mergus,serrator,"Mergus serrator Linnaeus, 1758",
11,8133709,Chromista,Ochrophyta,Bacillariales,Bacillariaceae,Nitzschia,dubia,"Nitzschia dubia W.Smith, 1853",
12,2498261,Animalia,Chordata,Anseriformes,Anatidae,Aythya,fuligula,"Aythya fuligula (Linnaeus, 1758)",
13,9805173,Animalia,Arthropoda,Araneae,Philodromidae,Tibellus,oblongus,"Tibellus oblongus (Walckenaer, 1802)",
14,2145852,Animalia,Arthropoda,Araneae,Lycosidae,Trochosa,ruricola,"Trochosa ruricola (De Geer, 1778)",
15,2159204,Animalia,Arthropoda,Araneae,Araneidae,Larinioides,cornutus,"Larinioides cornutus (Clerck, 1757)",
16,5170994,Animalia,Arthropoda,Araneae,Araneidae,Argiope,bruennichi,"Argiope bruennichi (Scopoli, 1772)",
17,2145815,Animalia,Arthropoda,Araneae,Lycosidae,Trochosa,terricola,"Trochosa terricola Thorell, 1856",
18,5261540,Fungi,Ascomycota,Laboulbeniales,Laboulbeniaceae,Laboulbenia,vulgaris,Laboulbenia vulgaris Peyr.,
19,5261538,Fungi,Ascomycota,Laboulbeniales,Laboulbeniaceae,Laboulbenia,eubradycelli,Laboulbenia eubradycelli Huldén,
20,5479984,Fungi,Ascomycota,Laboulbeniales,Laboulbeniaceae,Laboulbenia,elaphri,Laboulbenia elaphri Speg.,
21,5261564,Fungi,Ascomycota,Laboulbeniales,Laboulbeniaceae,Laboulbenia,flagellata,Laboulbenia flagellata Peyr.,
22,5261568,Fungi,Ascomycota,Laboulbeniales,Laboulbeniaceae,Laboulbenia,pedicellata,Laboulbenia pedicellata Thaxt.,
23,5261551,Fungi,Ascomycota,Laboulbeniales,Laboulbeniaceae,Laboulbenia,rougetii,Laboulbenia rougetii Mont. & C.P.Robin,
24,1035290,Animalia,Arthropoda,Coleoptera,Carabidae,Loricera,pilicornis,"Loricera pilicornis (Fabricius, 1775)",
25,4474653,Animalia,Arthropoda,Coleoptera,Carabidae,Synuchus,vivalis,"Synuchus vivalis (Illiger, 1798)",
26,4481106,Animalia,Arthropoda,Ephemeroptera,Baetidae,Baetis,rhodani,"Baetis rhodani (Pictet, 1843)",
27,8215487,Animalia,Chordata,Salmoniformes,Salmonidae,Salmo,trutta,"Salmo trutta Linnaeus, 1758",
28,2610770,Fungi,Ascomycota,Laboulbeniales,Laboulbeniaceae,Chitonomyces,paradoxus,Chitonomyces paradoxus (Peyr.) Thaxt.,
29,2489202,Animalia,Chordata,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,"Stelgidopteryx serripennis (Audubon, 1838)",
30,4437360,Animalia,Arthropoda,Coleoptera,Staphylinidae,Platydracus,stercorarius,"Platydracus stercorarius (A.G.Olivier, 1795)",
31,2491557,Animalia,Chordata,Passeriformes,Emberizidae,Emberiza,schoeniclus,"Emberiza schoeniclus (Linnaeus, 1758)",
32,2158851,Animalia,Arthropoda,Araneae,Araneidae,Neoscona,adianta,"Neoscona adianta (Walckenaer, 1802)",
33,1043572,Animalia,Arthropoda,Coleoptera,Coccinellidae,Propylaea,quatuordecimpunctata,"Propylaea quatuordecimpunctata (Linnaeus, 1758)",
34,1429969,Animalia,Arthropoda,Odonata,Corduliidae,Somatochlora,flavomaculata,"Somatochlora flavomaculata Vander Linden, 1825",
35,2092051,Animalia,Arthropoda,Hemiptera,Coccidae,Pulvinariella,mesembryanthemi,"Pulvinariella mesembryanthemi (Vallot, 1829)",
